测试模块,测试用例ID,测试用例名称,前置条件,测试步骤,预期结果,测试类型,优先级
登录模块,TC001,正常登录功能,用户未登录,"1. 访问登录页面
2. 输入正确的用户名和密码
3. 点击登录按钮","1. 登录成功
2. 跳转到首页
3. 显示用户信息",功能测试,高
登录模块,TC002,用户名为空登录,用户未登录,"1. 访问登录页面
2. 密码输入框输入密码
3. 用户名输入框留空
4. 点击登录按钮","1. 显示错误提示'请输入用户名!'
2. 登录按钮不可用或登录失败",功能测试,高
登录模块,TC003,密码为空登录,用户未登录,"1. 访问登录页面
2. 用户名输入框输入用户名
3. 密码输入框留空
4. 点击登录按钮","1. 显示错误提示'请输入密码!'
2. 登录按钮不可用或登录失败",功能测试,高
登录模块,TC004,错误用户名密码登录,用户未登录,"1. 访问登录页面
2. 输入错误的用户名和密码
3. 点击登录按钮","1. 显示登录失败错误信息
2. 停留在登录页面",功能测试,高
登录模块,TC005,登录加载状态,用户未登录,"1. 访问登录页面
2. 输入正确的用户名和密码
3. 点击登录按钮","1. 登录按钮显示加载状态
2. 按钮文字变为'登录中...'
3. 输入框被禁用",界面测试,中
首页模块,TC006,首页数据展示,用户已登录,"1. 登录系统
2. 访问首页","1. 显示账户余额信息
2. 显示今日广告消耗
3. 显示账户日预算
4. 显示广告计划列表
5. 显示广告创意列表",功能测试,高
首页模块,TC007,导航菜单功能,用户已登录,"1. 登录系统
2. 在首页点击导航菜单各项","1. 点击'首页'跳转到首页
2. 点击'广告计划'跳转到广告计划列表
3. 点击'广告组'跳转到广告组列表
4. 点击'广告创意'跳转到广告创意列表",功能测试,高
首页模块,TC008,用户下拉菜单,用户已登录,"1. 登录系统
2. 点击右上角用户头像
3. 查看下拉菜单选项","1. 显示'修改用户名'选项
2. 管理员用户显示'管理后台'选项
3. 显示'退出登录'选项",功能测试,中
首页模块,TC009,修改用户名功能,用户已登录,"1. 登录系统
2. 点击用户头像下拉菜单
3. 点击'修改用户名'
4. 输入新用户名
5. 点击确定","1. 弹出修改用户名对话框
2. 用户名修改成功
3. 页面显示新用户名",功能测试,中
首页模块,TC010,退出登录功能,用户已登录,"1. 登录系统
2. 点击用户头像下拉菜单
3. 点击'退出登录'","1. 用户成功退出登录
2. 跳转到登录页面
3. 清除用户登录状态",功能测试,高
